"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 14 08:33:56 GMT 2023","Fri Apr 14 08:33:56 GMT 2023","0","","""Telnyx"" test","","","","TX_006 Test Sign In form with negative scenario where all fields are filled with incorrect data",""
"skipped","Fri Apr 14 08:33:56 GMT 2023","Fri Apr 14 08:33:56 GMT 2023","1","","""Telnyx"" test","","","","TX_005 Check that entered value in ""Enter business email"" field on the Main Page appearst in ""Enter business email"" field on Sign Up page",""
"passed","Fri Apr 14 08:33:50 GMT 2023","Fri Apr 14 08:33:54 GMT 2023","4464","","""Telnyx"" test","","","","TX_003 Test the ""Contact Us"" formwith negative scenario when all fields are left empty",""
"passed","Fri Apr 14 08:33:02 GMT 2023","Fri Apr 14 08:33:33 GMT 2023","30499","","""Telnyx"" test","","","","TX_001 Test the ""Contact Us"" form with positive scenario, form opened via header link from the main page",""
"passed","Fri Apr 14 08:33:33 GMT 2023","Fri Apr 14 08:33:50 GMT 2023","16779","","""Telnyx"" test","","","","TX_002 Test the ""Contact Us"" form with positive scenario, form opened via link from the Products page",""
"skipped","Fri Apr 14 08:33:56 GMT 2023","Fri Apr 14 08:33:56 GMT 2023","0","","""Telnyx"" test","","","","TX_009 Check that ""Communications"", ""Networking"", ""Wireless"", ""Storage"" options are visible on Products page",""
"skipped","Fri Apr 14 08:33:56 GMT 2023","Fri Apr 14 08:33:56 GMT 2023","0","","""Telnyx"" test","","","","TX_010 Test Sign In form from Contact Us page with negative scenario where all fields are filled with incorrect credentials",""
"broken","Fri Apr 14 08:33:54 GMT 2023","Fri Apr 14 08:33:56 GMT 2023","1932","","""Telnyx"" test","","","","TX_004 Chech that ""Support Center"" link navigate to ""Support Center"" page from the ""Contact us"" page",""
"skipped","Fri Apr 14 08:33:56 GMT 2023","Fri Apr 14 08:33:56 GMT 2023","0","","""Telnyx"" test","","","","TX_008 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling in the correct data in the required fields and ""Promo Code"" field",""
"skipped","Fri Apr 14 08:33:56 GMT 2023","Fri Apr 14 08:33:56 GMT 2023","0","","""Telnyx"" test","","","","TX_007 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields",""
